"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
16117,"$100,000 under $200,000",720
16117,"$200,000 or more",100
,,
16120,,"1,100"
16120,"$1 under $25,000",430
16120,"$25,000 under $50,000",250
16120,"$50,000 under $75,000",160
16120,"$75,000 under $100,000",120
16120,"$100,000 under $200,000",140
16120,"$200,000 or more",** 0
,,
16121,,"2,010"
16121,"$1 under $25,000",1120
16121,"$25,000 under $50,000",500
16121,"$50,000 under $75,000",210
16121,"$75,000 under $100,000",110
16121,"$100,000 under $200,000",70
16121,"$200,000 or more",** 0
,,
16123,,"1,160"
16123,"$1 under $25,000",420
16123,"$25,000 under $50,000",260
16123,"$50,000 under $75,000",170
16123,"$75,000 under $100,000",120
16123,"$100,000 under $200,000",150
16123,"$200,000 or more",40
,,
16124,,930
16124,"$1 under $25,000",370
16124,"$25,000 under $50,000",260
16124,"$50,000 under $75,000",150
16124,"$75,000 under $100,000",80
16124,"$100,000 under $200,000",70
16124,"$200,000 or more",** 0
,,
16125,,"7,860"
16125,"$1 under $25,000",3380
16125,"$25,000 under $50,000",2020
16125,"$50,000 under $75,000",1110
16125,"$75,000 under $100,000",660
16125,"$100,000 under $200,000",600
16125,"$200,000 or more",90
,,
16127,,"6,780"
16127,"$1 under $25,000",2620
16127,"$25,000 under $50,000",1530
16127,"$50,000 under $75,000",1010
16127,"$75,000 under $100,000",710
16127,"$100,000 under $200,000",760
16127,"$200,000 or more",150
,,
16130,,930
16130,"$1 under $25,000",410
16130,"$25,000 under $50,000",240
16130,"$50,000 under $75,000",130
16130,"$75,000 under $100,000",70
16130,"$100,000 under $200,000",80
16130,"$200,000 or more",** 0
,,
16131,,470
16131,"$1 under $25,000",190
16131,"$25,000 under $50,000",120
16131,"$50,000 under $75,000",80
16131,"$75,000 under $100,000",50
16131,"$100,000 under $200,000",30
16131,"$200,000 or more",** 0
,,
16133,,770
16133,"$1 under $25,000",290
16133,"$25,000 under $50,000",210
16133,"$50,000 under $75,000",140
16133,"$75,000 under $100,000",70
16133,"$100,000 under $200,000",60
16133,"$200,000 or more",** 0
,,
16134,,"1,760"
16134,"$1 under $25,000",780
16134,"$25,000 under $50,000",410
16134,"$50,000 under $75,000",270
16134,"$75,000 under $100,000",150
16134,"$100,000 under $200,000",150
16134,"$200,000 or more",** 0
,,
16137,,"5,500"
16137,"$1 under $25,000",2200
16137,"$25,000 under $50,000",1270
16137,"$50,000 under $75,000",850
16137,"$75,000 under $100,000",550
16137,"$100,000 under $200,000",520
16137,"$200,000 or more",110
,,
16141,,810
16141,"$1 under $25,000",330
16141,"$25,000 under $50,000",180
16141,"$50,000 under $75,000",120
16141,"$75,000 under $100,000",90
16141,"$100,000 under $200,000",90
16141,"$200,000 or more",** 0
,,
16142,,"2,450"
16142,"$1 under $25,000",900
16142,"$25,000 under $50,000",540
16142,"$50,000 under $75,000",350
16142,"$75,000 under $100,000",240
16142,"$100,000 under $200,000",350
16142,"$200,000 or more",70
,,
16143,,"1,320"
16143,"$1 under $25,000",520
16143,"$25,000 under $50,000",290
16143,"$50,000 under $75,000",210
16143,"$75,000 under $100,000",120
16143,"$100,000 under $200,000",150
16143,"$200,000 or more",30
,,
16145,,"1,370"
16145,"$1 under $25,000",570
16145,"$25,000 under $50,000",330
16145,"$50,000 under $75,000",210
16145,"$75,000 under $100,000",130
16145,"$100,000 under $200,000",130
16145,"$200,000 or more",** 0
,,
16146,,"5,890"
16146,"$1 under $25,000",3190
16146,"$25,000 under $50,000",1410
16146,"$50,000 under $75,000",650
16146,"$75,000 under $100,000",310
16146,"$100,000 under $200,000",270
16146,"$200,000 or more",60
,,
16148,,"8,730"
16148,"$1 under $25,000",3450
16148,"$25,000 under $50,000",1880
16148,"$50,000 under $75,000",1250
16148,"$75,000 under $100,000",870
16148,"$100,000 under $200,000",980
16148,"$200,000 or more",300
,,
16150,,"3,720"
16150,"$1 under $25,000",1480
16150,"$25,000 under $50,000",910
16150,"$50,000 under $75,000",570
16150,"$75,000 under $100,000",370
16150,"$100,000 under $200,000",330
16150,"$200,000 or more",60
,,
16153,,"1,240"
16153,"$1 under $25,000",460
16153,"$25,000 under $50,000",340
16153,"$50,000 under $75,000",220
16153,"$75,000 under $100,000",110
16153,"$100,000 under $200,000",110
16153,"$200,000 or more",** 0
,,
16154,,"1,260"
16154,"$1 under $25,000",510
16154,"$25,000 under $50,000",310
16154,"$50,000 under $75,000",180
16154,"$75,000 under $100,000",120
16154,"$100,000 under $200,000",140
16154,"$200,000 or more",** 0
,,
16156,,"1,560"
16156,"$1 under $25,000",580
16156,"$25,000 under $50,000",370
16156,"$50,000 under $75,000",250
16156,"$75,000 under $100,000",160
16156,"$100,000 under $200,000",170
16156,"$200,000 or more",30
,,
16157,,"1,660"
16157,"$1 under $25,000",620
16157,"$25,000 under $50,000",450
16157,"$50,000 under $75,000",280
16157,"$75,000 under $100,000",160
16157,"$100,000 under $200,000",150
16157,"$200,000 or more",** 0
,,
16159,,"2,300"
16159,"$1 under $25,000",860
16159,"$25,000 under $50,000",540
16159,"$50,000 under $75,000",360
16159,"$75,000 under $100,000",250
16159,"$100,000 under $200,000",240
16159,"$200,000 or more",50
,,
16201,,"8,090"
16201,"$1 under $25,000",3070
16201,"$25,000 under $50,000",1970
16201,"$50,000 under $75,000",1290
16201,"$75,000 under $100,000",790
16201,"$100,000 under $200,000",830
16201,"$200,000 or more",140
,,
16210,,440
16210,"$1 under $25,000",170
16210,"$25,000 under $50,000",110
16210,"$50,000 under $75,000",80
16210,"$75,000 under $100,000",30
16210,"$100,000 under $200,000",50
16210,"$200,000 or more",** 0
,,
16214,,"3,230"
16214,"$1 under $25,000",1400
16214,"$25,000 under $50,000",720
16214,"$50,000 under $75,000",410
16214,"$75,000 under $100,000",260
16214,"$100,000 under $200,000",350
16214,"$200,000 or more",90
,,
16218,,490
16218,"$1 under $25,000",170
16218,"$25,000 under $50,000",130
16218,"$50,000 under $75,000",90
16218,"$75,000 under $100,000",40
16218,"$100,000 under $200,000",60
16218,"$200,000 or more",** 0
,,
16222,,"1,090"
16222,"$1 under $25,000",420
16222,"$25,000 under $50,000",260
16222,"$50,000 under $75,000",190
16222,"$75,000 under $100,000",100
16222,"$100,000 under $200,000",120
16222,"$200,000 or more",** 0
,,
16224,,510
16224,"$1 under $25,000",180
16224,"$25,000 under $50,000",130
16224,"$50,000 under $75,000",110
16224,"$75,000 under $100,000",50
16224,"$100,000 under $200,000",40
16224,"$200,000 or more",** 0
,,
16226,,"3,910"
16226,"$1 under $25,000",1540
16226,"$25,000 under $50,000",1020
16226,"$50,000 under $75,000",620
16226,"$75,000 under $100,000",350
16226,"$100,000 under $200,000",340
16226,"$200,000 or more",40
,,
16228,,190
16228,"$1 under $25,000",70
16228,"$25,000 under $50,000",50
16228,"$50,000 under $75,000",40
16228,"$75,000 under $100,000",30
16228,"$100,000 under $200,000",** 0
16228,"$200,000 or more",0
,,
16229,,"2,630"
16229,"$1 under $25,000",870
16229,"$25,000 under $50,000",630
16229,"$50,000 under $75,000",390
16229,"$75,000 under $100,000",290
16229,"$100,000 under $200,000",370
16229,"$200,000 or more",80
,,
16232,,"2,020"
16232,"$1 under $25,000",810
16232,"$25,000 under $50,000",540
16232,"$50,000 under $75,000",330
16232,"$75,000 under $100,000",160
16232,"$100,000 under $200,000",180
16232,"$200,000 or more",** 0
,,
16233,,510
16233,"$1 under $25,000",190
16233,"$25,000 under $50,000",130
16233,"$50,000 under $75,000",80
16233,"$75,000 under $100,000",50
16233,"$100,000 under $200,000",60
16233,"$200,000 or more",** 0
,,
16235,,610
16235,"$1 under $25,000",220
16235,"$25,000 under $50,000",150
16235,"$50,000 under $75,000",100
16235,"$75,000 under $100,000",70
16235,"$100,000 under $200,000",70
16235,"$200,000 or more",** 0
,,
16239,,700
16239,"$1 under $25,000",300
16239,"$25,000 under $50,000",170
16239,"$50,000 under $75,000",120
16239,"$75,000 under $100,000",60
16239,"$100,000 under $200,000",50
16239,"$200,000 or more",** 0
,,
16240,,680
16240,"$1 under $25,000",280
16240,"$25,000 under $50,000",180
16240,"$50,000 under $75,000",100
16240,"$75,000 under $100,000",60
16240,"$100,000 under $200,000",60
16240,"$200,000 or more",** 0
,,
16242,,"2,090"
16242,"$1 under $25,000",850
16242,"$25,000 under $50,000",510
16242,"$50,000 under $75,000",330
16242,"$75,000 under $100,000",190
16242,"$100,000 under $200,000",210
16242,"$200,000 or more",** 0
,,
16248,,"1,410"
16248,"$1 under $25,000",610
16248,"$25,000 under $50,000",360
16248,"$50,000 under $75,000",230
16248,"$75,000 under $100,000",100
16248,"$100,000 under $200,000",110
16248,"$200,000 or more",** 0
,,
16249,,990
16249,"$1 under $25,000",370
16249,"$25,000 under $50,000",230
16249,"$50,000 under $75,000",180
16249,"$75,000 under $100,000",110
16249,"$100,000 under $200,000",100
16249,"$200,000 or more",** 0
,,
16254,,"1,530"
16254,"$1 under $25,000",560
16254,"$25,000 under $50,000",370
16254,"$50,000 under $75,000",230
16254,"$75,000 under $100,000",160
16254,"$100,000 under $200,000",180
16254,"$200,000 or more",30
,,
16255,,860
16255,"$1 under $25,000",340
16255,"$25,000 under $50,000",220
16255,"$50,000 under $75,000",150
16255,"$75,000 under $100,000",80
16255,"$100,000 under $200,000",70
16255,"$200,000 or more",** 0
,,
16256,,570
16256,"$1 under $25,000",270
16256,"$25,000 under $50,000",160
16256,"$50,000 under $75,000",70
16256,"$75,000 under $100,000",40
16256,"$100,000 under $200,000",30
16256,"$200,000 or more",** 0
,,
16258,,830
16258,"$1 under $25,000",360
16258,"$25,000 under $50,000",250
16258,"$50,000 under $75,000",110
16258,"$75,000 under $100,000",70
16258,"$100,000 under $200,000",40
16258,"$200,000 or more",** 0
,,
16259,,880
16259,"$1 under $25,000",340
16259,"$25,000 under $50,000",230
16259,"$50,000 under $75,000",140
16259,"$75,000 under $100,000",100
16259,"$100,000 under $200,000",70
16259,"$200,000 or more",** 0
,,
16260,,110
16260,"$1 under $25,000",50
16260,"$25,000 under $50,000",40
16260,"$50,000 under $75,000",** 0
16260,"$75,000 under $100,000",20
16260,"$100,000 under $200,000",** 0
16260,"$200,000 or more",0
,,
16262,,"1,310"
16262,"$1 under $25,000",460
16262,"$25,000 under $50,000",330
16262,"$50,000 under $75,000",200
16262,"$75,000 under $100,000",150
16262,"$100,000 under $200,000",170
16262,"$200,000 or more",** 0
,,
16301,,"7,000"
16301,"$1 under $25,000",3210
16301,"$25,000 under $50,000",1700
16301,"$50,000 under $75,000",960
16301,"$75,000 under $100,000",580
16301,"$100,000 under $200,000",460
16301,"$200,000 or more",90
,,
16311,,220
16311,"$1 under $25,000",80
16311,"$25,000 under $50,000",60
16311,"$50,000 under $75,000",40
16311,"$75,000 under $100,000",40
16311,"$100,000 under $200,000",** 0
16311,"$200,000 or more",** 0
,,
16313,,890
16313,"$1 under $25,000",420
16313,"$25,000 under $50,000",210
16313,"$50,000 under $75,000",130
16313,"$75,000 under $100,000",80
16313,"$100,000 under $200,000",50
16313,"$200,000 or more",** 0
,,
16314,,"2,580"
16314,"$1 under $25,000",970
16314,"$25,000 under $50,000",680
16314,"$50,000 under $75,000",440
16314,"$75,000 under $100,000",260
16314,"$100,000 under $200,000",200
16314,"$200,000 or more",30
,,
16316,,"2,720"
16316,"$1 under $25,000",1020
16316,"$25,000 under $50,000",710
16316,"$50,000 under $75,000",400
16316,"$75,000 under $100,000",270
16316,"$100,000 under $200,000",240
16316,"$200,000 or more",80
,,
16317,,690
16317,"$1 under $25,000",260
16317,"$25,000 under $50,000",180
16317,"$50,000 under $75,000",120
16317,"$75,000 under $100,000",90
16317,"$100,000 under $200,000",40
16317,"$200,000 or more",** 0
,,
16319,,690
16319,"$1 under $25,000",250
16319,"$25,000 under $50,000",170
16319,"$50,000 under $75,000",120
16319,"$75,000 under $100,000",70
16319,"$100,000 under $200,000",80
16319,"$200,000 or more",** 0
,,
16323,,"7,480"
16323,"$1 under $25,000",3090
16323,"$25,000 under $50,000",1900
16323,"$50,000 under $75,000",1130
16323,"$75,000 under $100,000",640
16323,"$100,000 under $200,000",600
16323,"$200,000 or more",120
,,
16326,,210
16326,"$1 under $25,000",70
16326,"$25,000 under $50,000",60
16326,"$50,000 under $75,000",40
16326,"$75,000 under $100,000",20
16326,"$100,000 under $200,000",20
16326,"$200,000 or more",** 0
,,
16327,,"1,200"
16327,"$1 under $25,000",440
16327,"$25,000 under $50,000",340
16327,"$50,000 under $75,000",190
16327,"$75,000 under $100,000",110
16327,"$100,000 under $200,000",100
16327,"$200,000 or more",20
,,
16329,,250
16329,"$1 under $25,000",110
16329,"$25,000 under $50,000",60
16329,"$50,000 under $75,000",60
16329,"$75,000 under $100,000",** 0
16329,"$100,000 under $200,000",20
16329,"$200,000 or more",** 0
,,
16334,,220
16334,"$1 under $25,000",90
16334,"$25,000 under $50,000",40
16334,"$50,000 under $75,000",40
16334,"$75,000 under $100,000",30
16334,"$100,000 under $200,000",20
16334,"$200,000 or more",** 0
,,
16335,,"12,640"
16335,"$1 under $25,000",5380
16335,"$25,000 under $50,000",3090
16335,"$50,000 under $75,000",1730
16335,"$75,000 under $100,000",1080
16335,"$100,000 under $200,000",1080
16335,"$200,000 or more",280
,,
16340,,860
16340,"$1 under $25,000",360
16340,"$25,000 under $50,000",210
16340,"$50,000 under $75,000",160
16340,"$75,000 under $100,000",80
16340,"$100,000 under $200,000",50
16340,"$200,000 or more",** 0
,,
16341,,920
16341,"$1 under $25,000",380
16341,"$25,000 under $50,000",230
16341,"$50,000 under $75,000",150
16341,"$75,000 under $100,000",90
16341,"$100,000 under $200,000",70
16341,"$200,000 or more",** 0
,,
16342,,"1,090"
16342,"$1 under $25,000",480
16342,"$25,000 under $50,000",270
16342,"$50,000 under $75,000",180
16342,"$75,000 under $100,000",90
16342,"$100,000 under $200,000",70
16342,"$200,000 or more",** 0
,,
16345,,"1,790"
16345,"$1 under $25,000",610
16345,"$25,000 under $50,000",400
16345,"$50,000 under $75,000",280
16345,"$75,000 under $100,000",210
16345,"$100,000 under $200,000",240
16345,"$200,000 or more",50
,,
16346,,"1,500"
16346,"$1 under $25,000",610
16346,"$25,000 under $50,000",360
16346,"$50,000 under $75,000",230
16346,"$75,000 under $100,000",150
16346,"$100,000 under $200,000",150
16346,"$200,000 or more",** 0
,,
16347,,"1,060"
16347,"$1 under $25,000",470
16347,"$25,000 under $50,000",280
16347,"$50,000 under $75,000",160
16347,"$75,000 under $100,000",90
16347,"$100,000 under $200,000",60
16347,"$200,000 or more",** 0
,,
16350,,"1,120"
16350,"$1 under $25,000",470
16350,"$25,000 under $50,000",290
16350,"$50,000 under $75,000",170
16350,"$75,000 under $100,000",100
16350,"$100,000 under $200,000",90
16350,"$200,000 or more",** 0
,,
16351,,730
16351,"$1 under $25,000",320
16351,"$25,000 under $50,000",190
16351,"$50,000 under $75,000",120
16351,"$75,000 under $100,000",60
16351,"$100,000 under $200,000",40
16351,"$200,000 or more",** 0
,,
16353,,"1,240"
16353,"$1 under $25,000",530
16353,"$25,000 under $50,000",330
16353,"$50,000 under $75,000",180
16353,"$75,000 under $100,000",100
16353,"$100,000 under $200,000",100
16353,"$200,000 or more",** 0
,,
16354,,"4,730"
16354,"$1 under $25,000",2200
16354,"$25,000 under $50,000",1180
16354,"$50,000 under $75,000",620
16354,"$75,000 under $100,000",360
16354,"$100,000 under $200,000",310
16354,"$200,000 or more",60
,,
16360,,600
16360,"$1 under $25,000",240
16360,"$25,000 under $50,000",140
16360,"$50,000 under $75,000",110
16360,"$75,000 under $100,000",70
16360,"$100,000 under $200,000",40
16360,"$200,000 or more",** 0
,,
16362,,490
16362,"$1 under $25,000",170
16362,"$25,000 under $50,000",140
16362,"$50,000 under $75,000",80
16362,"$75,000 under $100,000",60
16362,"$100,000 under $200,000",40
16362,"$200,000 or more",0
,,
16364,,540
16364,"$1 under $25,000",200
16364,"$25,000 under $50,000",130
16364,"$50,000 under $75,000",80
16364,"$75,000 under $100,000",70
16364,"$100,000 under $200,000",60
16364,"$200,000 or more",** 0
,,
16365,,"9,030"
16365,"$1 under $25,000",3800
16365,"$25,000 under $50,000",2170
16365,"$50,000 under $75,000",1330
16365,"$75,000 under $100,000",820
16365,"$100,000 under $200,000",720
16365,"$200,000 or more",190
,,
16371,,"1,520"
16371,"$1 under $25,000",690
16371,"$25,000 under $50,000",380
16371,"$50,000 under $75,000",220
16371,"$75,000 under $100,000",130
16371,"$100,000 under $200,000",100
16371,"$200,000 or more",** 0
,,
16373,,"1,580"
16373,"$1 under $25,000",580
16373,"$25,000 under $50,000",400
16373,"$50,000 under $75,000",260
16373,"$75,000 under $100,000",180
16373,"$100,000 under $200,000",140
16373,"$200,000 or more",20
,,
16374,,860
16374,"$1 under $25,000",340
16374,"$25,000 under $50,000",210
16374,"$50,000 under $75,000",150
16374,"$75,000 under $100,000",80
